word,full_month,full_frequency,full_rank,neg_full_rank
New Zealands,Sep,14,2,-4
National,Sep,11,3,-5
Trump,Sep,5,4,-6
NewZealand,Sep,5,5,-7
Prospect,Sep,4,6,-8
Cabinet,Sep,4,7,-9
NZD,Sep,4,8,-10
Labours,Sep,4,9,-11
Prospect Magazine,Sep,3,10,-12
Christchurch,Sep,3,11,-13
Covid,Sep,3,12,-14
Timaru Watch,Sep,3,13,-15
Warehouse,Sep,3,14,-16
NZPolitics,Sep,2,15,-17
Parliament,Sep,2,16,-18
zeroCovid,Sep,2,17,-19
Labour,Sep,2,18,-20
Change Coaching Communication Conference Development Growth Guidance Influence,Sep,2,19,-21
Selandia Baru,Sep,2,20,-22
KK,Sep,2,21,-23
NewZealand  COVID COVID19,Sep,2,22,-24
Nicola Sturgeon,Sep,2,23,-25
Massey University,Sep,2,24,-26
Sila,Sep,1,25,-27
JudithCollinsMP,Sep,1,26,-28
UN,Sep,1,27,-29
New Zealands   httpstcoMYlW6BNP9K Beautifully,Sep,1,28,-30
PeppermintMag,Sep,1,29,-31
 amp Cornel West,Sep,1,30,-32
New Zealands,Oct,144,1,-3
Labour Party,Oct,51,2,-4
 s,Oct,32,3,-5
Covid19,Oct,21,4,-6
Trump New Zealands,Oct,13,5,-7
s Labour Party,Oct,11,6,-8
Australian Capital Territory,Oct,10,7,-9
NewZealand,Oct,10,8,-10
Christchurch,Oct,10,9,-11
DonaldTrump,Oct,10,10,-12
 s Labour Party,Oct,9,11,-13
the Labour Party,Oct,7,12,-14
NBC News,Oct,7,13,-15
Trump,Oct,6,14,-16
GOP,Oct,6,15,-17
CNN,Oct,6,16,-18
NouvelleZlande,Oct,6,17,-19
Guardian,Oct,6,18,-20
Lan,Oct,6,19,-21
Coronavirus,Oct,5,20,-22
Labor Party,Oct,5,21,-23
Telegraph,Oct,5,22,-24
Porte,Oct,5,23,-25
NZpol,Oct,5,24,-26
Reuters,Oct,4,25,-27
Labor,Oct,4,26,-28
the  led Labour,Oct,4,27,-29
s New Zealand Reelection,Oct,4,28,-30
New Zealands Covid,Oct,3,29,-31
Covid19,Nov,24,1,-3
New Zealands,Nov,15,2,-4
Melinda Gates,Nov,13,3,-5
Gouverner,Nov,13,4,-6
Cabinet,Nov,12,5,-7
Christchurch,Nov,7,6,-8
Reuters,Nov,7,7,-9
Novozelandska,Nov,5,8,-10
Harvard,Nov,5,9,-11
Covid19 Christchurch,Nov,5,10,-12
 s,Nov,4,11,-13
Fox News,Nov,4,12,-14
 New,Nov,2,13,-15
Support of Global COVID19 Vaccine,Nov,2,14,-16
MMP,Nov,2,15,-17
NewZealand,Nov,2,16,-18
Labours,Nov,2,17,-19
the Covid Recovery Fund,Nov,2,18,-20
Nicola Sturgeon,Nov,2,19,-21
Times of India,Nov,2,20,-22
Parliament,Nov,2,21,-23
Immigrants,Nov,2,22,-24
Covid19 to Christchurch,Nov,1,23,-25
de Christchurch,Nov,1,24,-26
NZpol,Nov,1,25,-27
Construction Associate Housing Public Hon Peeni Henare Associate Housing Maori Housing,Nov,1,26,-28
Behauptungen,Nov,1,27,-29
CovidReaktion,Nov,1,28,-30
GOP,Nov,1,29,-31
New Zealands,Dec,10,1,-3
Partisi Eitim University of,Dec,9,2,-4
New Zealands Covid,Dec,5,3,-5
Pacific Nations,Dec,4,4,-6
Business Insider,Dec,4,5,-7
Harvard,Dec,3,6,-8
AP,Dec,3,7,-9
Guardian,Dec,3,8,-10
Covid19,Dec,3,9,-11
Santas,Dec,2,10,-12
Nature NZ Herald,Dec,2,11,-13
University of Auckland,Dec,2,12,-14
TIME,Dec,2,13,-15
US Surgeon,Dec,2,14,-16
Covid Project,Dec,2,15,-17
Melinda Gates,Dec,2,16,-18
Incompetence,Dec,1,17,-19
Ntech,Dec,1,18,-20
BBC News,Dec,1,19,-21
the Ministry of Health,Dec,1,20,-22
Vox httpstcoA7s9YNgB0b,Dec,1,21,-23
NZfijitimes NZ,Dec,1,22,-24
Obrigado Liga,Dec,1,23,-25
Optics,Dec,1,24,-26
State,Dec,1,25,-27
the Kennedy School  ,Dec,1,26,-28
NZers,Dec,1,27,-29
Covid deaths Opinion FixedItForYou South Dakotas,Dec,1,28,-30
Business World Fiji News,Dec,1,29,-31
